id,edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_ano,impacto_abandono
91,59,0,Travel_Frequently,Sales,1,Secundaria,Life Sciences,Baja,Media,2,Sales Executive,Media,Single,5473,7,No,11,Alta,Muy_Alta,0,20,2,4,1,3,65676,13397.903999999999
94,29,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Alta,Alta,1,Research Scientist,Alta,Married,2703,0,No,23,Muy_Alta,Muy_Alta,1,6,3,5,0,4,32436,6389.892
95,31,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,Alta,Alta,1,Research Scientist,Alta,Single,2501,1,No,17,Alta,Media,0,1,4,1,1,0,30012,5912.3640000000005
96,32,0,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,Media,Alta,2,Research Scientist,Alta,Married,6220,1,No,17,Alta,Media,2,10,3,10,0,9,74640,15226.56
97,36,0,Travel_Rarely,Research & Development,6,Master,Life Sciences,Media,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,3038,3,No,12,Alta,Media,0,5,3,1,0,0,36456,7181.832
98,31,0,Travel_Rarely,Research & Development,8,Universitaria,Life Sciences,Alta,Alta,2,Manufacturing Director,Alta,Single,4424,1,No,23,Muy_Alta,Muy_Alta,0,11,2,11,1,8,53088,10829.952
100,35,0,Travel_Rarely,Sales,1,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Single,4312,0,No,14,Alta,Media,0,16,2,15,2,8,51744,10555.776
101,45,0,Travel_Rarely,Research & Development,6,Universitaria,Other,Muy_Alta,Alta,3,Research Director,Alta,Married,13245,4,Yes,14,Alta,Media,0,17,3,0,0,0,158940,33377.4
102,37,0,Travel_Rarely,Research & Development,7,Universitaria,Medical,Baja,Alta,3,Research Director,Alta,Single,13664,4,No,13,Alta,Baja,0,16,3,5,0,2,163968,34433.28
103,46,0,Travel_Rarely,Human Resources,5,Universitaria,Medical,Media,Alta,2,Human Resources,Alta,Divorced,5021,8,Yes,22,Muy_Alta,Muy_Alta,1,16,2,4,0,2,60252,12291.408
104,30,0,Travel_Rarely,Research & Development,1,Secundaria,Life Sciences,Muy_Alta,Media,2,Laboratory Technician,Media,Married,5126,1,Yes,12,Alta,Alta,2,10,1,10,3,0,61512,12548.447999999999
105,35,0,Travel_Rarely,Research & Development,1,Secundaria,Medical,Media,Media,1,Research Scientist,Media,Single,2859,1,No,18,Alta,Baja,0,6,3,6,0,4,34308,6758.676
106,55,0,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Baja,Alta,3,Sales Executive,Alta,Married,10239,3,No,14,Alta,Muy_Alta,1,24,4,1,1,0,122868,25802.28
107,38,0,Non-Travel,Research & Development,6,Primaria,Medical,Media,Baja,2,Research Scientist,Baja,Divorced,5329,7,Yes,12,Alta,Muy_Alta,3,17,3,13,1,9,63948,13045.392
110,34,0,Travel_Rarely,Research & Development,1,Universitaria,Medical,Baja,Alta,2,Manufacturing Director,Alta,Married,4325,1,No,15,Alta,Alta,0,5,2,5,1,3,51900,10587.599999999999
112,56,0,Travel_Rarely,Research & Development,7,Primaria,Life Sciences,Muy_Alta,Baja,3,Manufacturing Director,Baja,Single,7260,4,No,11,Alta,Baja,0,37,3,6,0,2,87120,18295.2
113,23,0,Travel_Rarely,Sales,2,Universitaria,Technical Degree,Alta,Alta,1,Sales Representative,Alta,Divorced,2322,3,No,13,Alta,Alta,1,3,3,0,0,0,27864,4486.104
116,51,0,Travel_Rarely,Research & Development,9,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Married,2075,3,No,23,Muy_Alta,Media,2,10,4,4,0,3,24900,4008.9
117,30,0,Travel_Rarely,Research & Development,2,Secundaria,Life Sciences,Alta,Media,2,Healthcare Representative,Media,Married,4152,1,No,19,Alta,Baja,3,11,3,11,10,8,49824,9815.328
118,46,1,Travel_Rarely,Sales,9,Secundaria,Medical,Alta,Media,3,Sales Executive,Media,Single,9619,1,No,16,Alta,Muy_Alta,0,9,3,9,4,7,115428,24239.879999999997
119,40,0,Travel_Frequently,Research & Development,1,Secundaria,Life Sciences,Alta,Media,4,Healthcare Representative,Media,Married,13503,1,No,22,Muy_Alta,Muy_Alta,1,22,3,22,11,11,162036,34027.56
120,51,0,Travel_Rarely,Sales,21,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Single,5441,0,Yes,22,Muy_Alta,Muy_Alta,0,11,2,10,1,0,65292,13319.568
121,30,0,Travel_Rarely,Sales,4,Secundaria,Medical,Alta,Media,2,Sales Executive,Media,Divorced,5209,1,Yes,12,Alta,Media,3,11,4,11,2,7,62508,12751.632
124,46,0,Travel_Frequently,Research & Development,1,Secundaria,Medical,Alta,Media,3,Healthcare Representative,Media,Married,10673,2,Yes,13,Alta,Alta,1,21,5,10,9,5,128076,26895.96
125,32,0,Travel_Rarely,Sales,6,Universitaria,Medical,Media,Alta,2,Sales Executive,Alta,Single,5010,1,No,16,Alta,Baja,0,12,0,11,5,7,60120,12264.48
126,54,0,Travel_Rarely,Research & Development,2,universitaria,Technical Degree,Baja,Alta,3,Research Director,Alta,Married,13549,9,No,12,Alta,Baja,1,16,5,4,0,3,162588,34143.479999999996
128,24,0,Travel_Rarely,Sales,3,Universitaria,Other,Baja,Alta,2,Sales Executive,Alta,Married,4999,0,No,21,Muy_Alta,Baja,1,4,2,3,0,2,59988,12237.552
129,28,0,Non-Travel,Sales,4,Universitaria,Medical,Media,Alta,2,Sales Executive,Alta,Married,4221,1,No,15,Alta,Media,0,5,3,5,0,4,50652,10333.008
131,58,0,Travel_Rarely,Sales,10,Universitaria,Medical,Muy_Alta,Alta,4,Sales Executive,Alta,Single,13872,0,No,13,Alta,Alta,0,38,1,37,1,8,166464,34957.44
132,44,0,Non-Travel,Research & Development,23,Universitaria,Medical,Media,Alta,2,Laboratory Technician,Alta,Married,2042,4,No,12,Alta,Alta,1,17,3,3,1,2,24504,3945.1440000000002
133,37,1,Travel_Rarely,Human Resources,6,Universitaria,Human Resources,Alta,Alta,1,Human Resources,Alta,Divorced,2073,4,Yes,22,Muy_Alta,Muy_Alta,0,7,3,3,0,2,24876,4005.036
134,32,0,Travel_Rarely,Research & Development,1,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Single,2956,1,No,13,Alta,Muy_Alta,0,1,2,1,0,0,35472,6987.984
137,20,1,Travel_Frequently,Research & Development,6,Secundaria,Life Sciences,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2926,1,Yes,18,Alta,Media,0,1,5,1,1,0,35112,6917.064
138,34,0,Travel_Rarely,Research & Development,6,Universitaria,Other,Baja,Alta,2,Research Scientist,Alta,Single,4809,1,No,14,Alta,Alta,0,16,3,16,2,10,57708,11772.431999999999
139,37,0,Non-Travel,Research & Development,2,universitaria,Life Sciences,Alta,Media,2,Healthcare Representative,Media,Divorced,5163,5,No,14,Alta,Muy_Alta,1,17,2,1,0,0,61956,12639.024
140,59,0,Non-Travel,Human Resources,2,Secundaria,Human Resources,Alta,Media,5,Manager,Media,Married,18844,9,No,21,Muy_Alta,Muy_Alta,1,30,3,3,2,2,226128,47486.88
141,50,0,Travel_Frequently,Research & Development,1,Universitaria,Life Sciences,Baja,Alta,5,Research Director,Alta,Married,18172,3,Yes,19,Alta,Baja,0,28,1,8,0,7,218064,45793.439999999995
142,25,1,Travel_Rarely,Sales,5,Secundaria,Marketing,Alta,Media,2,Sales Executive,Media,Single,5744,1,Yes,11,Alta,Muy_Alta,0,6,1,6,0,3,68928,14061.312
143,25,0,Travel_Rarely,Research & Development,7,Secundaria,Medical,Muy_Alta,Media,1,Research Scientist,Media,Married,2889,1,No,11,Alta,Alta,2,2,2,2,2,1,34668,6829.5960000000005
144,22,0,Travel_Rarely,Research & Development,15,Universitaria,Medical,Media,Alta,1,Laboratory Technician,Alta,Single,2871,1,No,15,Alta,Alta,0,1,5,0,0,0,34452,6787.044
145,51,0,Travel_Frequently,Research & Development,1,Secundaria,Medical,Baja,Media,3,Healthcare Representative,Alta,Single,7484,3,No,20,Muy_Alta,Alta,0,23,1,13,12,8,89808,18859.68
147,34,1,Travel_Frequently,Research & Development,7,Primaria,Life Sciences,Baja,Baja,2,Laboratory Technician,Baja,Single,6074,1,Yes,24,Muy_Alta,Muy_Alta,0,9,3,9,0,6,72888,14869.151999999998
148,54,0,Non-Travel,Human Resources,26,Master,Human Resources,Muy_Alta,Muy_Alta,4,Manager,Muy_Alta,Single,17328,2,Yes,12,Alta,Alta,0,23,3,5,4,4,207936,43666.56
150,24,0,Travel_Rarely,Research & Development,18,Universitaria,Life Sciences,Media,Alta,1,Laboratory Technician,Alta,Married,2774,0,No,12,Alta,Alta,1,6,2,5,1,2,33288,6557.736
151,34,0,Travel_Rarely,Research & Development,6,Secundaria,Life Sciences,Alta,Media,2,Research Scientist,Media,Divorced,4505,6,No,15,Alta,Alta,1,12,3,1,0,0,54060,11028.24
152,37,0,Travel_Rarely,Sales,3,Universitaria,Life Sciences,Alta,Alta,3,Sales Executive,Alta,Single,7428,2,No,12,Alta,Baja,0,12,3,5,1,3,89136,18718.559999999998
153,34,0,Travel_Rarely,Research & Development,5,Secundaria,Medical,Alta,Media,3,Manager,Media,Single,11631,2,No,12,Alta,Muy_Alta,0,14,6,11,5,8,139572,29310.12
154,36,0,Travel_Frequently,Sales,11,Universitaria,Technical Degree,Media,Alta,3,Sales Executive,Alta,Married,9738,0,No,14,Alta,Alta,1,10,6,9,2,8,116856,24539.76
155,36,0,Travel_Rarely,Research & Development,3,Universitaria,Life Sciences,Baja,Alta,1,Laboratory Technician,Alta,Divorced,2835,5,No,22,Muy_Alta,Baja,1,7,2,1,0,0,34020,6701.9400000000005
158,43,0,Travel_Frequently,Sales,26,Universitaria,Life Sciences,Alta,Alta,4,Manager,Alta,Married,16959,1,Yes,12,Alta,Muy_Alta,2,25,3,25,4,12,203508,42736.68
159,30,0,Travel_Frequently,Research & Development,23,Primaria,Life Sciences,Baja,Baja,1,Research Scientist,Baja,Divorced,2613,1,No,25,Muy_Alta,Alta,3,10,2,10,0,9,31356,6177.1320000000005
160,33,0,Non-Travel,Sales,22,Universitaria,Marketing,Alta,Alta,2,Sales Executive,Alta,Married,6146,0,No,13,Alta,Baja,1,8,2,7,0,7,73752,15045.408
161,56,1,Travel_Rarely,Research & Development,14,Universitaria,Life Sciences,Media,Alta,1,Research Scientist,Alta,Married,4963,9,Yes,18,Alta,Baja,3,7,2,5,4,3,59556,12149.423999999999
162,51,0,Travel_Rarely,Research & Development,6,Universitaria,Life Sciences,Baja,Alta,5,Research Director,Alta,Single,19537,7,No,13,Alta,Alta,0,23,5,20,15,15,234444,49233.24
163,31,1,Travel_Rarely,Sales,6,Primaria,Life Sciences,Media,Baja,2,Sales Executive,Baja,Married,6172,4,Yes,18,Alta,Media,0,12,3,7,7,7,74064,15109.055999999999
164,26,0,Travel_Rarely,Research & Development,6,Secundaria,Other,Alta,Media,1,Research Scientist,Media,Married,2368,1,No,19,Alta,Alta,0,5,3,5,4,3,28416,4574.976000000001
165,58,1,Travel_Rarely,Research & Development,23,Universitaria,Medical,Muy_Alta,Alta,3,Healthcare Representative,Alta,Married,10312,1,No,12,Alta,Muy_Alta,1,40,3,40,15,6,123744,25986.239999999998
167,19,1,Travel_Rarely,Sales,22,Universitaria,Marketing,Muy_Alta,Alta,1,Sales Representative,Alta,Single,1675,1,Yes,19,Alta,Muy_Alta,0,0,2,0,0,0,20100,3236.1
169,22,0,Travel_Rarely,Research & Development,2,Universitaria,Technical Degree,Alta,Alta,1,Laboratory Technician,Alta,Married,2523,0,No,14,Alta,Alta,1,3,2,2,2,1,30276,5964.372
170,49,0,Travel_Rarely,Research & Development,20,Universitaria,Medical,Alta,Alta,2,Manufacturing Director,Alta,Married,6567,1,No,14,Alta,Alta,0,16,2,15,5,11,78804,16548.84
171,43,0,Travel_Frequently,Research & Development,28,Master,Medical,Media,Muy_Alta,1,Research Scientist,Muy_Alta,Single,4739,4,No,12,Alta,Muy_Alta,0,18,2,3,1,2,56868,11601.072
174,50,0,Travel_Frequently,Sales,12,Universitaria,Marketing,Alta,Alta,3,Sales Executive,Alta,Single,9208,4,No,11,Alta,Muy_Alta,0,16,3,2,2,1,110496,23204.16
175,31,1,Travel_Rarely,Sales,20,Primaria,Life Sciences,Media,Baja,2,Sales Executive,Baja,Married,4559,3,Yes,11,Alta,Alta,1,4,2,2,2,2,54708,11160.431999999999
176,41,0,Travel_Rarely,Sales,9,Universitaria,Life Sciences,Alta,Alta,3,Sales Executive,Alta,Divorced,8189,3,Yes,13,Alta,Alta,1,12,2,9,0,7,98268,20636.28
177,26,0,Travel_Rarely,Human Resources,25,Universitaria,Life Sciences,Alta,Alta,1,Human Resources,Alta,Married,2942,1,No,23,Muy_Alta,Muy_Alta,1,8,3,8,5,7,35304,6954.888
